Order_ID,Order_Date,Process_Path,Process_Step,Duration_Minutes,Employees,Hourly_Wage,Units_Processed,Target_Time,Status
ORD-001,2026-08-20,Standard Order,Order Received,1.5,1,20.0,13,1.5,Completed
ORD-001,2026-08-20,Standard Order,Item Picking,5.2,2,20.0,13,7.0,Completed
ORD-001,2026-08-20,Standard Order,Quality Check,2.5,1,20.0,13,2.5,Completed
ORD-001,2026-08-20,Standard Order,Packing,3.5,2,20.0,13,4.5,Completed
ORD-001,2026-08-20,Standard Order,Labeling,1.4,1,20.0,13,1.5,Completed
ORD-001,2026-08-20,Standard Order,Staging for Shipment,2.2,1,20.0,13,2.0,Completed
ORD-002,2026-08-03,Standard Order,Order Received,1.3,1,20.0,9,1.5,Completed
ORD-002,2026-08-03,Standard Order,Item Picking,6.7,1,20.0,9,7.0,Completed
ORD-002,2026-08-03,Standard Order,Quality Check,2.2,1,20.0,9,2.5,Completed
ORD-002,2026-08-03,Standard Order,Packing,4.1,1,20.0,9,4.5,Completed
ORD-002,2026-08-03,Standard Order,Labeling,1.3,1,20.0,9,1.5,Completed
ORD-002,2026-08-03,Standard Order,Staging for Shipment,1.8,1,20.0,9,2.0,Completed
ORD-003,2026-08-29,Standard Order,Order Received,1.3,1,20.0,14,1.5,Completed
ORD-003,2026-08-29,Standard Order,Item Picking,6.2,2,20.0,14,7.0,Completed
ORD-003,2026-08-29,Standard Order,Quality Check,2.6,1,20.0,14,2.5,Completed
ORD-003,2026-08-29,Standard Order,Packing,4.8,1,20.0,14,4.5,Completed
ORD-003,2026-08-29,Standard Order,Labeling,1.2,1,20.0,14,1.5,Completed
ORD-003,2026-08-29,Standard Order,Staging for Shipment,1.7,1,20.0,14,2.0,Completed
ORD-004,2026-08-02,Standard Order,Order Received,1.6,1,20.0,14,1.5,Completed
ORD-004,2026-08-02,Standard Order,Item Picking,8.4,1,20.0,14,7.0,Completed
ORD-004,2026-08-02,Standard Order,Quality Check,2.9,1,20.0,14,2.5,Completed
